index,totalseconds,Pre_nuts_attitude,Senario,Impression_of_host_or_comments,Halo_or_Bandwagon_effect_feedback,After_nuts_attitude,Buying_intention,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimagedirectionoflivecomments,Eventuallydoyouliketheproduct,Doyouagreetobuyeventually,Gender,Age,Monthlyincome,totalvalue
18,58,5,2,3,3,4,4,3,5,3,5,5,2,3,4,34
21,149,7,2,3,6,7,6,3,6,1,5,6,1,2,3,46
50,32,3,2,3,5,3,6,3,4,3,2,5,2,6,2,31
74,74,4,2,3,6,4,4,3,4,1,4,4,1,4,2,33
18,144,3,2,3,3,6,5,3,4,4,3,6,2,2,3,33
32,161,5,2,2,5,5,2,3,4,1,3,1,2,2,3,27
83,120,1,2,3,1,1,2,3,1,1,1,1,1,2,3,11
95,121,5,2,1,1,2,3,3,6,1,1,1,2,3,3,20
117,199,5,2,3,1,1,1,3,5,4,2,3,1,3,3,21
133,138,7,2,1,2,1,1,3,7,1,3,1,2,3,4,23
168,180,1,2,2,5,2,3,3,1,4,2,3,2,7,7,19
201,138,6,2,2,2,3,3,3,3,1,3,4,1,4,6,26
227,151,7,2,1,1,1,1,3,5,1,4,2,1,5,3,22
233,98,7,2,2,1,2,1,3,4,1,1,1,2,2,3,19
259,129,4,2,1,2,3,1,3,2,1,2,4,1,4,3,19
290,164,2,2,1,4,1,1,3,1,1,4,4,1,1,1,18
319,132,2,2,1,2,4,2,3,2,1,4,1,2,6,4,18
339,110,2,2,1,1,1,3,3,3,1,2,5,2,1,1,18
348,110,2,2,3,1,4,4,3,2,1,3,2,2,2,3,21
377,121,6,2,2,1,1,1,3,4,1,2,5,1,3,3,22
461,102,2,2,3,6,4,5,3,2,1,6,4,2,2,3,32
473,133,5,2,1,1,2,3,3,6,1,1,1,1,7,1,20
510,131,1,2,2,1,1,3,3,1,1,2,1,2,1,1,12
17,94,3,2,3,3,3,3,3,3,2,3,3,2,3,4,24
20,198,4,2,2,1,4,3,3,4,2,1,4,2,2,3,23
51,82,5,2,3,5,5,5,3,5,2,5,5,1,5,2,38
64,38,2,2,2,2,2,2,3,2,2,2,2,1,5,7,16
