index,totalseconds,Pre_Prefence_Nuts,Haloeffect_new,Impression_Influencer,Haloeffectfeedback,Howmuchdoyoulikethenutsnacknow,Willyoubuysuchnutsnackinthelivescreamingecommerceflatform,Bandwagoneffect_new,Perceived_Valence_Comment,Bandwagonfeedback,Howmuchdoyoulikethenutsnacknow_A,Willyoubuysuchnutsnackinthelivescreamingecommerceflatform_A,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimage,doyouliketheproductafterhostrecommendation,Recallofdirectionoflivecomments,Eventuallydoyouliketheproduct,Buy_Intention,Gender,Age,Income,totalvalue,Group
88,173,3,3,6,4,5,4,1,1,3,3,1,3,2,1,4,1,6,6,1,3,3,48,3
89,198,5,3,7,4,6,6,1,3,4,4,3,3,6,1,7,3,5,5,2,3,4,65,3
167,163,2,3,7,3,5,4,1,2,1,1,2,3,5,4,4,1,3,1,2,4,3,40,3
269,180,1,3,6,6,3,4,1,2,1,3,1,3,1,1,5,1,6,3,2,7,3,42,3
372,115,5,3,7,4,1,1,1,2,3,2,1,3,3,1,1,1,1,1,1,1,1,32,3
423,193,1,3,6,5,2,4,1,2,1,1,1,3,2,1,4,1,1,3,2,6,3,33,3
490,145,1,3,7,4,1,4,1,2,3,2,1,3,1,1,4,1,2,5,2,3,3,37,3
3,146,5,3,7,2,3,1,1,2,5,4,5,3,3,1,2,3,1,1,2,6,6,41,3
131,130,1,3,7,3,5,5,1,3,6,1,1,3,2,1,4,3,3,5,2,1,1,46,3
138,107,1,3,6,5,5,3,1,1,7,3,1,3,2,1,2,3,1,1,1,1,1,38,3
142,120,1,3,5,4,2,2,1,3,5,1,3,3,3,1,3,2,1,2,1,2,2,35,3
152,193,1,3,7,4,4,1,1,2,5,1,3,3,4,1,2,2,2,5,1,1,1,41,3
165,210,5,3,7,6,7,4,1,3,6,5,5,3,6,1,5,3,5,7,2,4,5,71,3
242,219,5,3,6,4,7,4,1,1,6,2,1,3,5,4,5,3,6,5,2,6,3,57,3
290,196,5,3,7,7,7,5,1,1,5,2,3,3,7,1,5,3,6,7,1,6,6,67,3
382,177,6,3,7,7,4,7,1,1,5,3,1,3,6,1,4,3,7,5,1,5,6,63,3
397,114,5,3,7,4,6,5,1,2,7,1,3,3,6,1,4,3,6,5,2,3,3,61,3
403,125,3,3,7,1,1,3,1,3,6,3,1,3,3,1,3,3,2,5,2,1,1,41,3
446,205,1,3,5,3,6,4,1,1,5,2,3,3,1,1,2,3,2,1,2,1,1,36,3
458,108,2,3,6,1,3,1,1,2,7,1,3,3,2,1,4,3,1,1,2,1,1,34,3
195,185,1,3,7,5,6,3,1,1,1,1,1,3,2,2,2,1,1,2,2,3,3,33,3
196,173,1,3,7,5,6,3,1,1,1,1,1,3,2,2,2,1,1,2,2,3,3,33,3
303,204,1,3,7,2,1,1,1,1,5,1,4,3,2,4,2,1,2,1,1,1,1,30,3
482,110,6,3,7,2,5,2,1,3,2,5,5,3,5,2,4,1,7,5,2,3,3,58,3
67,150,4,3,5,4,5,4,1,3,5,4,6,3,5,2,6,1,7,5,2,1,1,63,3
94,164,7,3,7,6,7,7,1,2,6,1,1,3,7,2,7,3,6,7,1,2,3,71,3
118,188,6,3,7,6,4,5,1,2,5,1,1,3,7,2,6,3,6,5,2,6,6,61,3
255,177,1,3,5,2,2,1,1,2,4,2,5,3,3,2,3,3,4,1,1,2,2,35,3
272,169,1,3,5,1,4,4,1,2,7,2,4,3,2,2,1,3,1,1,2,3,3,35,3
282,188,5,3,5,4,7,5,1,2,5,1,1,3,5,2,5,3,6,5,2,4,3,56,3
388,173,7,3,6,4,5,7,1,3,7,5,3,3,7,2,6,3,7,6,1,3,3,73,3
24,153,4,3,6,6,6,4,1,1,2,3,1,3,7,3,6,2,5,7,1,4,3,58,3
84,219,7,3,5,5,4,5,1,1,3,2,1,3,6,3,7,2,7,4,2,3,4,57,3
103,219,5,3,7,4,7,5,1,3,3,4,3,3,5,3,4,3,5,5,1,2,3,60,3
104,208,4,3,5,6,7,4,1,2,3,1,1,3,5,3,7,2,7,5,2,3,4,57,3
173,183,1,3,5,7,5,4,1,2,2,1,1,3,3,3,3,2,5,5,1,2,2,44,3
