v1,v2,v3,v4,v5,Duration,AnswerChannel,ID,Name_Published,IP,Longitude,Latitude,Country,Province,City,Equipment,OS,Browser,ScreenResolution,v12,Pre_Prefence_Nuts,Group,X,Y3,Y2,Perceived_Valence_Comment,Brand_Attitude_Bandwagon,Post_Preference_Nuts,Y1,Recall_Product,Recall_Preference_Nuts,Recall_Influencer,W1,W2,W3,W4,Recall_Likeness_Influencer,Recall_Likeness_Nuts,Recall_Valence_Comment,Recall_Incentives,Gender,Age,Income,filter_$
wWMRG579,2MdbVBWL,cdm****vSATN,2023-02-09 11:32:59,2023-02-09 11:35:04,125,1,i2AJfe,电商直播影响力研究,221.207.255.197,126.6520214,45.7572300,中国,黑龙江省,哈尔滨市,COMPUTER,Windows,Firefox,1920px*1080px,进入直播室-C主播,5,3,2,6,4,4,6,4,2,3,5,3,1,8,100,95,2,2,2,5,2,4,3,1
K0eyzPMQ,p7YxvzZM,cdm****FBRNC,2023-02-09 10:28:31,2023-02-09 10:32:03,212,1,i2AJfe,电商直播影响力研究,111.79.31.190,115.9191298,28.6745131,中国,江西省,南昌市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-C主播,6,3,2,6,5,4,6,5,1,3,6,3,1,5,25,13,2,3,2,2,2,4,5,0
VnePPXea,kM1ZO9D7,cdm****hxt26,2023-02-08 23:50:09,2023-02-08 23:52:26,137,1,i2AJfe,电商直播影响力研究,183.242.45.117,116.3974589,39.9388838,中国,北京市,市辖区,COMPUTER,Mac OS X,Safari,1440px*900px,进入直播室-C主播,7,3,3,6,6,3,7,3,2,3,7,3,1,30,60,85,3,2,2,5,2,2,5,1
0ve8lzep,37Ko8Wv7,cdm****WBXD8,2023-02-12 19:12:58,2023-02-12 19:16:10,192,1,i2AJfe,电商直播影响力研究,182.108.81.168,116.0014039,29.7024885,中国,江西省,九江市,COMPUTER,Linux,Chrome,1143px*686px,进入直播室-C主播,6,3,4,3,6,4,5,5,5,3,6,5,2,10,20,15,5,6,2,5,1,3,4,1
w5LwgqLl,xLVl5ApM,cdm****EEySa,2023-02-12 17:46:12,2023-02-12 17:48:32,140,1,i2AJfe,电商直播影响力研究,159.138.61.55,120.3172150,36.0660920,中国,山东省,青岛市,MOBILE,Android,Chrome,360px*800px,进入直播室-C主播,5,3,4,6,5,4,5,4,1,3,5,3,5,60,30,9,4,3,2,5,1,2,5,1
dqM64PLx,9LQlnb47,cdm****sysVZ,2023-02-11 18:48:21,2023-02-11 18:53:14,293,1,i2AJfe,电商直播影响力研究,101.93.246.28,121.4767528,31.2243490,中国,上海市,市辖区,MOBILE,Android,Chrome,360px*800px,进入直播室-C主播,6,3,4,2,6,4,3,6,6,3,6,3,1,6,86,95,4,6,2,5,2,2,4,1
VneP0rea,KLOG4dAL,cdm****c9InV,2023-02-10 19:14:54,2023-02-10 19:19:18,264,1,i2AJfe,电商直播影响力研究,59.35.115.125,116.7571580,23.3649120,中国,广东省,汕头市,MOBILE,Android,WeChat,401px*881px,进入直播室-C主播,5,3,4,3,5,4,5,5,3,3,5,3,2,30,25,20,4,5,2,5,2,2,4,1
a8MZrjM3,WMRlRj5L,cdm****L1GGf,2023-02-10 19:13:58,2023-02-10 19:19:02,304,1,i2AJfe,电商直播影响力研究,122.192.14.160,119.5664590,32.4088850,中国,江苏省,扬州市,MOBILE,iOS,WeChat,390px*844px,进入直播室-C主播,6,3,4,2,6,4,5,6,5,3,6,3,5,20,63,60,4,5,2,5,2,2,3,1
pxMoPR7n,5M2ZxzkM,cdm****Ayuxo,2023-02-10 19:15:05,2023-02-10 19:18:13,188,1,i2AJfe,电商直播影响力研究,106.108.16.54,104.8949350,25.0603760,中国,贵州省,黔西南布依族苗族自治州,MOBILE,Android,WeChat,400px*867px,进入直播室-C主播,6,3,4,3,6,4,6,6,3,3,6,3,1,33,79,58,4,3,2,5,2,2,4,1
wz7AkAeD,9LQlnRv7,cdm****HNpZY,2023-02-10 16:27:33,2023-02-10 16:31:09,216,1,i2AJfe,电商直播影响力研究,121.231.32.123,119.9393911,31.7558433,中国,江苏省,常州市,COMPUTER,Windows,Chrome,1440px*960px,进入直播室-C主播,4,3,4,5,4,4,6,4,2,3,4,3,3,70,85,82,4,4,2,5,2,2,4,1
