Pre_Prefence_Nuts,Group,Impression_Influencer,Changedproductattitude_by_Influencer,Intra_Prference_Nuts,Perceived_Valence_Comment,Changedproductattitude_by_Comment,Post_Preference_Nuts,Buy_Intention,Recall_Product,Recall_Preference_Nuts,Recall_Influencer,Familiarity_Influencer,Fame_Influencer,Relevance_Influencer_Sale,Relevance_Influencer_Product,Recall_Likeness_Influencer,Recall_Likeness_Nuts,Recall_Valence_Comment,Recall_Incentives,Gender,Age,Income
5,1,3,3,6,1,3,6,3,3,6,1,2,10,19,21,2,2,3,1,2,2,5
6,1,3,5,6,1,6,5,3,3,5,1,3,54,41,61,4,3,3,5,1,2,3
6,1,3,2,6,1,7,1,3,3,6,1,1,0,57,83,2,3,3,5,2,2,3
5,1,4,6,5,1,7,5,2,3,5,1,2,61,88,80,5,4,3,5,2,3,6
5,1,4,3,5,1,3,5,3,3,6,1,1,72,39,62,4,6,3,5,2,2,4
6,1,4,5,6,1,7,6,2,3,6,1,1,20,45,50,3,2,3,5,2,2,3
5,1,4,6,5,1,7,5,4,3,5,1,4,20,20,10,4,4,3,5,2,4,4
7,1,4,1,7,2,4,4,5,3,7,1,3,13,9,23,4,4,3,5,2,2,2
6,1,4,6,5,2,6,3,5,3,6,1,5,30,40,35,4,3,3,1,2,3,5
6,1,4,3,6,3,5,6,3,3,6,1,3,30,50,50,4,4,3,5,1,3,5
6,1,4,3,6,1,7,4,5,3,6,1,3,48,52,37,4,4,3,5,2,4,5
2,1,4,5,6,1,7,4,3,3,5,1,4,30,60,45,4,5,3,5,2,3,5
2,1,5,4,2,1,5,2,2,3,2,1,3,40,47,40,5,2,3,5,2,2,3
6,1,5,7,6,2,6,4,3,3,6,1,3,19,31,34,3,2,3,5,1,3,5
6,1,5,3,6,1,7,6,3,3,6,1,5,64,80,75,5,3,3,5,2,2,3
6,1,5,3,6,1,6,5,5,3,6,1,3,57,64,60,5,4,3,5,2,3,6
6,1,5,5,6,2,4,4,4,3,6,1,3,26,77,50,4,4,3,5,1,3,4
6,1,5,5,6,1,7,6,4,3,6,1,3,30,31,20,4,4,3,5,2,2,4
6,1,5,6,6,1,6,6,6,3,6,1,5,60,100,100,5,6,3,5,1,2,5
4,1,5,5,5,1,7,1,5,3,4,1,1,22,99,10,1,1,3,5,1,5,5
4,1,5,5,4,1,5,4,3,3,4,1,3,22,60,62,5,4,3,5,2,3,3
6,1,5,5,6,1,4,6,5,3,6,1,3,44,34,71,4,4,3,5,2,2,3
6,1,5,2,6,1,6,1,2,3,6,1,2,15,70,85,3,2,3,5,2,4,5
6,1,5,6,7,1,7,6,6,3,6,1,3,53,20,30,5,5,3,5,1,4,6
6,1,5,5,6,1,7,2,2,3,6,1,1,50,70,70,3,2,3,5,1,4,5
6,1,5,3,6,1,5,5,6,3,6,1,3,30,70,60,5,6,3,5,2,4,6
6,1,5,5,6,1,5,2,2,3,6,1,1,25,71,67,5,3,3,1,1,4,6
5,1,5,5,6,1,5,5,3,3,5,1,5,61,67,71,4,2,3,5,1,3,4
6,1,5,7,6,2,6,4,3,3,6,1,2,32,56,49,2,3,3,5,2,3,3
6,1,5,6,6,1,5,6,6,3,6,1,3,31,40,43,5,6,3,5,2,3,5
6,1,5,6,6,3,6,4,5,3,6,1,2,15,27,25,5,3,3,5,1,3,3
5,1,5,3,5,2,5,4,5,3,5,1,5,40,70,31,5,4,3,5,2,2,4
5,1,5,5,6,3,7,4,2,3,5,1,2,30,75,60,5,4,3,5,2,2,4
6,1,6,6,6,1,6,3,5,3,6,1,3,22,54,47,3,3,3,5,2,4,4
6,1,6,6,7,1,5,5,5,3,6,1,1,0,87,83,5,5,3,5,1,2,4
6,1,6,6,7,1,6,5,5,3,5,1,5,52,64,83,6,5,3,5,2,4,5
6,1,6,5,6,1,6,4,5,3,6,1,4,30,60,80,4,5,3,5,1,3,5
6,1,6,7,7,1,7,3,5,3,6,1,6,47,66,83,5,6,3,5,2,4,5
5,1,6,7,6,1,7,3,2,3,5,1,1,80,10,10,6,6,3,5,1,3,6
5,1,7,4,5,1,6,3,3,3,5,1,2,39,67,60,3,2,3,2,1,2,4
5,1,4,6,5,2,6,4,3,3,5,1,2,10,70,81,4,5,3,5,2,2,4
6,1,4,5,6,1,7,6,4,3,6,1,1,2,74,62,4,3,3,5,1,5,1
5,1,4,5,5,2,5,5,3,3,5,1,1,28,62,59,4,3,3,5,2,2,4
5,1,4,6,4,1,7,2,4,3,5,1,2,7,6,49,3,4,3,5,2,2,2
6,1,5,5,6,2,5,5,4,3,6,1,3,16,45,69,5,4,3,5,2,2,2
3,1,5,2,3,1,7,2,1,3,3,1,1,8,71,27,3,1,3,5,2,2,4
6,1,5,6,6,1,5,5,5,3,6,1,1,42,73,67,5,5,3,5,2,4,6
4,1,5,5,4,1,6,4,2,3,4,1,2,20,80,80,5,4,3,5,2,2,5
5,1,5,6,5,1,5,4,4,3,6,1,3,65,30,30,4,4,3,5,2,4,5
6,1,5,6,6,1,7,4,4,3,6,1,3,10,22,35,5,2,3,5,1,3,6
7,1,5,3,7,1,6,6,3,3,7,1,1,2,21,66,4,3,3,5,2,2,2
6,1,5,6,7,1,7,3,5,3,6,1,5,60,85,100,4,3,3,5,2,2,5
6,1,5,6,6,1,7,4,5,3,6,1,2,15,66,77,4,4,3,5,1,4,5
6,1,5,3,6,1,6,6,2,3,6,1,2,6,22,55,3,2,3,5,1,4,4
7,1,6,2,7,1,3,6,5,3,7,1,6,45,75,70,3,7,3,5,1,2,5
6,2,2,5,6,7,6,6,5,3,6,2,2,80,71,78,2,6,1,5,1,2,3
5,2,2,6,5,6,2,6,4,3,5,2,1,5,88,88,2,4,1,5,2,3,5
4,2,3,3,5,7,5,5,5,3,4,2,1,5,65,70,3,5,1,5,1,3,5
7,2,3,4,7,7,5,7,6,3,7,2,3,20,65,75,3,5,1,5,1,3,4
6,2,3,5,5,6,6,6,6,3,6,2,2,15,43,45,3,5,1,5,1,2,4
4,2,3,5,5,7,6,5,4,3,4,2,3,25,20,40,3,5,1,5,1,5,4
6,2,3,5,6,7,5,6,5,3,6,2,3,10,20,25,2,4,1,5,2,2,4
6,2,3,6,3,7,7,5,5,3,6,2,2,4,77,69,3,3,1,5,1,2,4
5,2,3,6,4,6,5,3,2,3,5,2,2,11,50,40,2,3,1,5,1,2,3
5,2,3,6,5,7,3,5,4,3,5,2,1,30,10,90,3,4,1,5,2,3,5
7,2,3,6,6,7,7,7,7,3,7,2,2,60,80,90,2,5,1,5,2,2,5
6,2,4,2,5,7,4,6,5,3,5,2,3,18,15,70,4,5,1,5,1,2,4
7,2,4,2,7,6,6,7,7,3,7,2,5,30,60,60,4,7,1,5,1,5,4
5,2,4,3,5,6,6,6,6,3,5,2,1,33,47,65,4,5,1,5,2,2,3
5,2,4,3,5,6,5,5,4,3,5,2,1,20,60,70,4,4,1,5,1,3,5
6,2,4,3,6,6,4,7,6,3,7,2,3,8,43,47,5,6,1,5,1,4,3
6,2,4,3,6,6,6,6,4,3,6,2,5,38,53,25,4,6,1,1,1,4,5
6,2,4,3,6,7,6,7,6,3,6,2,2,10,30,40,4,6,1,5,2,2,2
6,2,4,4,6,6,3,6,3,3,6,2,1,5,53,55,4,4,1,5,1,4,6
5,2,4,5,4,6,6,6,5,3,5,2,5,68,64,67,5,6,1,5,2,5,2
6,2,4,5,5,7,6,6,6,3,6,2,3,26,56,69,4,5,1,5,2,4,6
6,2,4,5,6,6,5,6,5,3,6,2,2,5,20,75,4,5,1,5,1,3,5
7,2,4,5,7,7,6,7,5,3,7,2,5,60,50,55,4,4,1,5,2,3,6
6,2,4,6,6,7,6,7,6,3,6,2,5,44,42,52,4,5,1,5,2,2,4
6,2,4,6,6,7,7,6,5,3,6,2,3,48,50,50,4,6,1,5,2,3,5
6,2,4,6,6,7,6,7,6,3,6,2,6,68,50,58,4,7,1,5,2,4,4
7,2,4,7,7,7,6,7,6,3,7,2,5,33,56,51,5,6,1,5,1,4,6
6,2,5,3,5,5,5,6,6,3,6,2,5,58,64,73,4,5,1,2,2,3,5
6,2,5,3,6,6,3,6,3,3,6,2,2,34,31,37,3,4,1,1,2,3,3
6,2,5,3,6,7,5,6,5,3,6,2,3,25,55,50,4,5,1,5,1,2,5
6,2,5,3,6,7,7,7,7,3,6,2,1,55,16,5,5,7,1,5,2,3,5
5,2,5,5,5,6,6,6,6,3,5,2,5,40,70,72,4,6,1,5,2,4,5
6,2,5,6,5,6,6,6,6,3,6,2,6,75,80,77,5,6,1,5,1,5,5
5,2,5,6,5,6,5,6,5,3,5,2,5,54,38,54,4,5,1,5,1,3,5
6,2,5,6,6,7,6,6,5,3,6,2,2,30,20,20,5,6,1,5,2,2,5
6,2,5,6,6,7,6,6,6,3,6,2,5,60,79,65,5,6,1,5,2,4,7
6,2,5,6,7,7,7,7,6,3,6,2,5,50,70,87,5,6,1,5,2,5,5
6,2,6,5,6,7,2,7,6,3,6,2,6,69,15,18,6,5,1,5,2,4,5
6,2,2,4,5,7,4,5,3,3,6,2,1,8,92,88,2,4,1,5,2,2,1
6,2,3,4,6,6,5,6,5,3,6,2,2,10,73,81,2,5,1,5,1,4,5
7,2,3,7,3,6,6,6,6,3,7,2,1,13,17,18,3,3,1,5,2,3,5
6,2,3,6,5,2,6,4,4,3,6,2,2,10,50,20,3,4,1,5,2,2,1
6,2,3,5,5,5,5,6,6,3,6,2,4,38,71,76,4,5,1,5,1,2,5
5,2,4,3,6,7,6,6,5,3,5,2,3,48,60,63,4,6,1,5,1,7,4
6,2,4,5,6,6,5,6,6,3,6,2,2,14,73,55,4,6,1,5,2,2,5
6,2,4,5,6,7,4,6,5,3,6,2,3,12,48,61,4,5,1,5,1,3,4
6,2,4,5,5,5,6,5,3,3,5,2,5,29,8,9,4,5,1,5,1,2,3
5,2,4,5,5,6,6,5,6,3,5,2,2,4,30,49,4,5,1,5,2,4,7
5,2,4,3,6,7,3,6,5,3,7,2,2,9,16,18,4,6,1,5,2,2,4
6,2,4,5,6,6,6,6,5,3,6,2,2,30,60,60,4,6,1,5,1,4,7
6,2,4,6,6,6,5,6,5,3,6,2,3,7,58,43,4,4,1,5,2,2,3
4,2,5,3,4,6,3,4,5,3,4,2,2,55,41,80,4,5,1,5,2,2,4
3,3,6, , ,1, , ,1, , , , , , , , , , , ,1,3,3
5,3,7, , ,3, , ,3, , , , , , , , , , , ,2,3,4
2,3,7, , ,2, , ,2, , , , , , , , , , , ,2,4,3
1,3,6, , ,2, , ,1, , , , , , , , , , , ,2,7,3
5,3,7, , ,2, , ,1, , , , , , , , , , , ,1,1,1
1,3,6, , ,2, , ,1, , , , , , , , , , , ,2,6,3
1,3,7, , ,2, , ,1, , , , , , , , , , , ,2,3,3
5,3,7, , ,2, , ,5, , , , , , , , , , , ,2,6,6
1,3,7, , ,3, , ,1, , , , , , , , , , , ,2,1,1
1,3,6, , ,1, , ,1, , , , , , , , , , , ,1,1,1
1,3,5, , ,3, , ,3, , , , , , , , , , , ,1,2,2
